"Entity Couple";"Annotator";"1. Would you say these entities are closely related in any way?";"2. Do you already *know* the nature of the relationship?";"3. Would you *be curious* in learning more about this relationship - if there were one?";"Result";"Surprisal";"Annotation";"S_corrected_Annotation";"First Question";"Second Question"
"Entity Pair 1: Somalia AND Silk_Road";"Anonymous User 1";"No";"DOES NOT APPLY";"No";"Irrelevant";"Unexpected";"0,5";"0,7";0;0
"Entity Pair 1: Somalia AND Silk_Road";"Anonymous User 2";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 1: Somalia AND Silk_Road";"Anonymous User 3";"No";"DOES NOT APPLY";"Yes";"Serendipitous";"Unexpected";1;"1,2";0;0
"Entity Pair 2: List_of_Indian_film_actresses AND Bipasha_Basu";"Anonymous User 1";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 2: List_of_Indian_film_actresses AND Bipasha_Basu";"Anonymous User 2";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 2: List_of_Indian_film_actresses AND Bipasha_Basu";"Anonymous User 3";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 3: Måneskin AND Aerosmith";"Anonymous User 1";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 3: Måneskin AND Aerosmith";"Anonymous User 2";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 3: Måneskin AND Aerosmith";"Anonymous User 3";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 4: Cologne_Cathedral AND Panther_tank";"Anonymous User 1";"No";"DOES NOT APPLY";"Yes";"Serendipitous";"Unexpected";1;"1,2";0;0
"Entity Pair 4: Cologne_Cathedral AND Panther_tank";"Anonymous User 2";"No";"DOES NOT APPLY";"Yes";"Serendipitous";"Unexpected";1;"1,2";0;0
"Entity Pair 4: Cologne_Cathedral AND Panther_tank";"Anonymous User 3";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 5: Peter_Gabriel AND Grammy_Awards";"Anonymous User 1";"Yes";"No";"No";"Irrelevant";"Mildly Unexpected";"0,5";"0,5";1;0
"Entity Pair 5: Peter_Gabriel AND Grammy_Awards";"Anonymous User 2";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 5: Peter_Gabriel AND Grammy_Awards";"Anonymous User 3";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 6: Jammu_and_Kashmir_(union_territory) AND Islam";"Anonymous User 1";"Yes";"No";"Yes";"Serendipitous";"Mildly Unexpected";1;1;1;0
"Entity Pair 6: Jammu_and_Kashmir_(union_territory) AND Islam";"Anonymous User 2";"No";"DOES NOT APPLY";"Yes";"Serendipitous";"Unexpected";1;"1,2";0;0
"Entity Pair 6: Jammu_and_Kashmir_(union_territory) AND Islam";"Anonymous User 3";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 7: Euthanasia AND Canada";"Anonymous User 1";"No";"DOES NOT APPLY";"Yes";"Serendipitous";"Unexpected";1;"1,2";0;0
"Entity Pair 7: Euthanasia AND Canada";"Anonymous User 2";"Yes";"No";"Yes";"Serendipitous";"Mildly Unexpected";1;1;1;0
"Entity Pair 7: Euthanasia AND Canada";"Anonymous User 3";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 8: Sicily AND Sicilian_Mafia";"Anonymous User 1";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 8: Sicily AND Sicilian_Mafia";"Anonymous User 2";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 8: Sicily AND Sicilian_Mafia";"Anonymous User 3";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 9: Jaws_(film) AND Library_of_Congress";"Anonymous User 1";"No";"DOES NOT APPLY";"Yes";"Serendipitous";"Unexpected";1;"1,2";0;0
"Entity Pair 9: Jaws_(film) AND Library_of_Congress";"Anonymous User 2";"No";"DOES NOT APPLY";"Yes";"Serendipitous";"Unexpected";1;"1,2";0;0
"Entity Pair 9: Jaws_(film) AND Library_of_Congress";"Anonymous User 3";"No";"DOES NOT APPLY";"Yes";"Serendipitous";"Unexpected";1;"1,2";0;0
"Entity Pair 10: Oak AND Proto-Indo-European_language";"Anonymous User 1";"No";"DOES NOT APPLY";"No";"Irrelevant";"Unexpected";"0,5";"0,7";0;0
"Entity Pair 10: Oak AND Proto-Indo-European_language";"Anonymous User 2";"No";"DOES NOT APPLY";"No";"Irrelevant";"Unexpected";"0,5";"0,7";0;0
"Entity Pair 10: Oak AND Proto-Indo-European_language";"Anonymous User 3";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 11: Bubble_tea AND Konjac";"Anonymous User 1";"Yes";"No";"No";"Irrelevant";"Mildly Unexpected";"0,5";"0,5";1;0
"Entity Pair 11: Bubble_tea AND Konjac";"Anonymous User 2";"Yes";"No";"Yes";"Serendipitous";"Mildly Unexpected";1;1;1;0
"Entity Pair 11: Bubble_tea AND Konjac";"Anonymous User 3";"No";"DOES NOT APPLY";"No";"Irrelevant";"Unexpected";"0,5";"0,7";0;0
"Entity Pair 12: Brendon_Urie AND Attention_deficit_hyperactivity_disorder";"Anonymous User 1";"No";"DOES NOT APPLY";"Yes";"Serendipitous";"Unexpected";1;"1,2";0;0
"Entity Pair 12: Brendon_Urie AND Attention_deficit_hyperactivity_disorder";"Anonymous User 2";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 12: Brendon_Urie AND Attention_deficit_hyperactivity_disorder";"Anonymous User 3";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 13: Chris_Rea AND Ayrton_Senna";"Anonymous User 1";"No";"DOES NOT APPLY";"Yes";"Serendipitous";"Unexpected";1;"1,2";0;0
"Entity Pair 13: Chris_Rea AND Ayrton_Senna";"Anonymous User 2";"No";"DOES NOT APPLY";"Yes";"Serendipitous";"Unexpected";1;"1,2";0;0
"Entity Pair 13: Chris_Rea AND Ayrton_Senna";"Anonymous User 3";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 14: Portugal AND Sweden";"Anonymous User 1";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 14: Portugal AND Sweden";"Anonymous User 2";"No";"DOES NOT APPLY";"Yes";"Serendipitous";"Unexpected";1;"1,2";0;0
"Entity Pair 14: Portugal AND Sweden";"Anonymous User 3";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 15: Darth_Vader AND Star_Wars:_Episode_I_–_The_Phantom_Menace";"Anonymous User 1";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 15: Darth_Vader AND Star_Wars:_Episode_I_–_The_Phantom_Menace";"Anonymous User 2";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 15: Darth_Vader AND Star_Wars:_Episode_I_–_The_Phantom_Menace";"Anonymous User 3";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 16: India_national_football_team AND 2010_FIFA_World_Cup";"Anonymous User 1";"Yes";"No";"Yes";"Serendipitous";"Mildly Unexpected";1;1;1;0
"Entity Pair 16: India_national_football_team AND 2010_FIFA_World_Cup";"Anonymous User 2";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 16: India_national_football_team AND 2010_FIFA_World_Cup";"Anonymous User 3";"No";"DOES NOT APPLY";"No";"Irrelevant";"Unexpected";"0,5";"0,7";0;0
"Entity Pair 17: Andaman_and_Nicobar_Islands AND Bengali_language";"Anonymous User 1";"Yes";"No";"Yes";"Serendipitous";"Mildly Unexpected";1;1;1;0
"Entity Pair 17: Andaman_and_Nicobar_Islands AND Bengali_language";"Anonymous User 2";"Yes";"No";"Yes";"Serendipitous";"Mildly Unexpected";1;1;1;0
"Entity Pair 17: Andaman_and_Nicobar_Islands AND Bengali_language";"Anonymous User 3";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 18: Muhamed_(horse) AND Genius";"Anonymous User 1";"Yes";"No";"Yes";"Serendipitous";"Mildly Unexpected";1;1;1;0
"Entity Pair 18: Muhamed_(horse) AND Genius";"Anonymous User 2";"No";"DOES NOT APPLY";"No";"Irrelevant";"Unexpected";"0,5";"0,7";0;0
"Entity Pair 18: Muhamed_(horse) AND Genius";"Anonymous User 3";"No";"DOES NOT APPLY";"Yes";"Serendipitous";"Unexpected";1;"1,2";0;0
"Entity Pair 19: White_Paper_of_1939 AND 1936–1939_Arab_revolt_in_Palestine";"Anonymous User 1";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 19: White_Paper_of_1939 AND 1936–1939_Arab_revolt_in_Palestine";"Anonymous User 2";"Yes";"No";"Yes";"Serendipitous";"Mildly Unexpected";1;1;1;0
"Entity Pair 19: White_Paper_of_1939 AND 1936–1939_Arab_revolt_in_Palestine";"Anonymous User 3";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 20: Sleeping_Beauty_(1959_film) AND Walt_Disney";"Anonymous User 1";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 20: Sleeping_Beauty_(1959_film) AND Walt_Disney";"Anonymous User 2";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 20: Sleeping_Beauty_(1959_film) AND Walt_Disney";"Anonymous User 3";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 21: When_Harry_Met_Sally... AND Billy_Crystal";"Anonymous User 1";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 21: When_Harry_Met_Sally... AND Billy_Crystal";"Anonymous User 2";"Yes";"No";"No";"Irrelevant";"Mildly Unexpected";"0,5";"0,5";1;0
"Entity Pair 21: When_Harry_Met_Sally... AND Billy_Crystal";"Anonymous User 3";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 22: Glenne_Headly AND Psych";"Anonymous User 1";"Yes";"No";"Yes";"Serendipitous";"Mildly Unexpected";1;1;1;0
"Entity Pair 22: Glenne_Headly AND Psych";"Anonymous User 2";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 22: Glenne_Headly AND Psych";"Anonymous User 3";"No";"DOES NOT APPLY";"No";"Irrelevant";"Unexpected";"0,5";"0,7";0;0
"Entity Pair 23: Robert_F._Kennedy AND John_F._Kennedy_Jr.";"Anonymous User 1";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 23: Robert_F._Kennedy AND John_F._Kennedy_Jr.";"Anonymous User 2";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 23: Robert_F._Kennedy AND John_F._Kennedy_Jr.";"Anonymous User 3";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 24: The_Devil_Is_a_Part-Timer! AND McDonald's";"Anonymous User 1";"No";"DOES NOT APPLY";"Yes";"Serendipitous";"Unexpected";1;"1,2";0;0
"Entity Pair 24: The_Devil_Is_a_Part-Timer! AND McDonald's";"Anonymous User 2";"Yes";"No";"Yes";"Serendipitous";"Mildly Unexpected";1;1;1;0
"Entity Pair 24: The_Devil_Is_a_Part-Timer! AND McDonald's";"Anonymous User 3";"No";"DOES NOT APPLY";"Yes";"Serendipitous";"Unexpected";1;"1,2";0;0
"Entity Pair 25: List_of_American_Dad!_characters AND Seth_MacFarlane";"Anonymous User 1";"Yes";"No";"Yes";"Serendipitous";"Mildly Unexpected";1;1;1;0
"Entity Pair 25: List_of_American_Dad!_characters AND Seth_MacFarlane";"Anonymous User 2";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 25: List_of_American_Dad!_characters AND Seth_MacFarlane";"Anonymous User 3";"No";"DOES NOT APPLY";"No";"Irrelevant";"Unexpected";"0,5";"0,7";0;0
"Entity Pair 26: Nigeria AND Islam";"Anonymous User 1";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 26: Nigeria AND Islam";"Anonymous User 2";"No";"DOES NOT APPLY";"Yes";"Serendipitous";"Unexpected";1;"1,2";0;0
"Entity Pair 26: Nigeria AND Islam";"Anonymous User 3";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 27: Sam_Darnold AND Zach_Wilson";"Anonymous User 1";"Yes";"No";"Yes";"Serendipitous";"Mildly Unexpected";1;1;1;0
"Entity Pair 27: Sam_Darnold AND Zach_Wilson";"Anonymous User 2";"Yes";"No";"Yes";"Serendipitous";"Mildly Unexpected";1;1;1;0
"Entity Pair 27: Sam_Darnold AND Zach_Wilson";"Anonymous User 3";"No";"DOES NOT APPLY";"No";"Irrelevant";"Unexpected";"0,5";"0,7";0;0
"Entity Pair 28: List_of_Big_Five_Academy_Award_winners_and_nominees AND Academy_Award_for_Best_Actress";"Anonymous User 1";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 28: List_of_Big_Five_Academy_Award_winners_and_nominees AND Academy_Award_for_Best_Actress";"Anonymous User 2";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 28: List_of_Big_Five_Academy_Award_winners_and_nominees AND Academy_Award_for_Best_Actress";"Anonymous User 3";"Yes";"No";"Yes";"Too obvious";"Mildly Unexpected";0;0;1;0
"Entity Pair 29: Dat_Nguyen AND Dallas_Cowboys";"Anonymous User 1";"Yes";"No";"No";"Irrelevant";"Mildly Unexpected";"0,5";"0,5";1;0
"Entity Pair 29: Dat_Nguyen AND Dallas_Cowboys";"Anonymous User 2";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 29: Dat_Nguyen AND Dallas_Cowboys";"Anonymous User 3";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 30: Romelu_Lukaku AND Goal_celebration";"Anonymous User 1";"Yes";"No";"No";"Irrelevant";"Mildly Unexpected";"0,5";"0,5";1;0
"Entity Pair 30: Romelu_Lukaku AND Goal_celebration";"Anonymous User 2";"Yes";"No";"Yes";"Serendipitous";"Mildly Unexpected";1;1;1;0
"Entity Pair 30: Romelu_Lukaku AND Goal_celebration";"Anonymous User 3";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 31: Cadbury AND Chocolate_bar";"Anonymous User 1";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 31: Cadbury AND Chocolate_bar";"Anonymous User 2";"Yes";"No";"Yes";"Serendipitous";"Mildly Unexpected";1;1;1;0
"Entity Pair 31: Cadbury AND Chocolate_bar";"Anonymous User 3";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 32: Baden-Baden AND Kai_Whittaker";"Anonymous User 1";"Yes";"No";"No";"Irrelevant";"Mildly Unexpected";"0,5";"0,5";1;0
"Entity Pair 32: Baden-Baden AND Kai_Whittaker";"Anonymous User 2";"Yes";"No";"No";"Irrelevant";"Mildly Unexpected";"0,5";"0,5";1;0
"Entity Pair 32: Baden-Baden AND Kai_Whittaker";"Anonymous User 3";"Yes";"No";"Yes";"Too obvious";"Mildly Unexpected";0;0;1;0
"Entity Pair 33: Curtis_Martin AND Bill_Parcells";"Anonymous User 1";"Yes";"No";"No";"Irrelevant";"Mildly Unexpected";"0,5";"0,5";1;0
"Entity Pair 33: Curtis_Martin AND Bill_Parcells";"Anonymous User 2";"Yes";"No";"No";"Irrelevant";"Mildly Unexpected";"0,5";"0,5";1;0
"Entity Pair 33: Curtis_Martin AND Bill_Parcells";"Anonymous User 3";"No";"DOES NOT APPLY";"No";"Irrelevant";"Unexpected";"0,5";"0,7";0;0
"Entity Pair 34: Janice_Dickinson AND Veruschka_von_Lehndorff";"Anonymous User 1";"Yes";"No";"No";"Irrelevant";"Mildly Unexpected";"0,5";"0,5";1;0
"Entity Pair 34: Janice_Dickinson AND Veruschka_von_Lehndorff";"Anonymous User 2";"No";"DOES NOT APPLY";"No";"Irrelevant";"Unexpected";"0,5";"0,7";0;0
"Entity Pair 34: Janice_Dickinson AND Veruschka_von_Lehndorff";"Anonymous User 3";"No";"DOES NOT APPLY";"No";"Irrelevant";"Unexpected";"0,5";"0,7";0;0
"Entity Pair 35: The_Dawn-Breakers AND Baháʼí_Faith";"Anonymous User 1";"Yes";"No";"Yes";"Serendipitous";"Mildly Unexpected";1;1;1;0
"Entity Pair 35: The_Dawn-Breakers AND Baháʼí_Faith";"Anonymous User 2";"Yes";"No";"Yes";"Serendipitous";"Mildly Unexpected";1;1;1;0
"Entity Pair 35: The_Dawn-Breakers AND Baháʼí_Faith";"Anonymous User 3";"No";"DOES NOT APPLY";"Yes";"Serendipitous";"Unexpected";1;"1,2";0;0
"Entity Pair 36: Boots_Opticians AND Boots_(company)";"Anonymous User 1";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 36: Boots_Opticians AND Boots_(company)";"Anonymous User 2";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 36: Boots_Opticians AND Boots_(company)";"Anonymous User 3";"No";"DOES NOT APPLY";"No";"Irrelevant";"Unexpected";"0,5";"0,7";0;0
"Entity Pair 37: ABS-CBN AND ABS-CBN_(disambiguation)";"Anonymous User 1";"Yes";"No";"No";"Irrelevant";"Mildly Unexpected";"0,5";"0,5";1;0
"Entity Pair 37: ABS-CBN AND ABS-CBN_(disambiguation)";"Anonymous User 2";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 37: ABS-CBN AND ABS-CBN_(disambiguation)";"Anonymous User 3";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 38: Ron_DeSantis AND 2014_United_States_House_of_Representatives_elections_in_Florida";"Anonymous User 1";"Yes";"No";"Yes";"Serendipitous";"Mildly Unexpected";1;1;1;0
"Entity Pair 38: Ron_DeSantis AND 2014_United_States_House_of_Representatives_elections_in_Florida";"Anonymous User 2";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 38: Ron_DeSantis AND 2014_United_States_House_of_Representatives_elections_in_Florida";"Anonymous User 3";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 39: Canine_reproduction AND Penis_captivus";"Anonymous User 1";"No";"DOES NOT APPLY";"Yes";"Serendipitous";"Unexpected";1;"1,2";0;0
"Entity Pair 39: Canine_reproduction AND Penis_captivus";"Anonymous User 2";"No";"DOES NOT APPLY";"No";"Irrelevant";"Unexpected";"0,5";"0,7";0;0
"Entity Pair 39: Canine_reproduction AND Penis_captivus";"Anonymous User 3";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 40: Church_of_the_Holy_Sepulchre AND Christian_tradition";"Anonymous User 1";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 40: Church_of_the_Holy_Sepulchre AND Christian_tradition";"Anonymous User 2";"Yes";"No";"Yes";"Serendipitous";"Mildly Unexpected";1;1;1;0
"Entity Pair 40: Church_of_the_Holy_Sepulchre AND Christian_tradition";"Anonymous User 3";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 41: Stan_Lee AND Just_Imagine...";"Anonymous User 1";"Yes";"No";"Yes";"Serendipitous";"Mildly Unexpected";1;1;1;0
