"Entity1";"Entity2";"ClickstreamEnt1Ent2";"PopularityEnt1";"PopularityEnt2";"Perceived_Relatedness";"Subjective_Knowledge";"Serendipity";"Avg_Perceived_Relatedness";"Avg_Subjective_Knowledge";"Avg_Serendipity";;"Legend"
"History_of_human_sexuality";"I_Ching";10;13799;59456;0.3;0.3;0.6;0.6;0.4;0.5;;"0.6 = moderate serendipity"
"Yogurt";"Honey";15;50553.68;104692;0.7;0.7;0.7;"Avg_Perceived_Relatedness_pop";"Avg_Subjective_Knowledge_pop";"Avg_Serendipity_pop";;"0.7 = high serendipity"
"Yohan_Blake";"Usain_Bolt";473;15681;171510;0.7;0.5;0.6;0.59;0.438;0.572;;"0.8-0.9 = very high serendipity"
"Geography_of_the_United_Kingdom";"Ben_Nevis";102;13916;33940;0.6;0.5;0.5;;;;;
"Jockstrap";"BDSM";63;14570.44;160890.23;0.3;0.4;0.4;"Avg_Perceived_Relatedness_unpop";"Avg_Subjective_Knowledge_unpop";"Avg_Serendipity_unpop";;
"Christina_Pazsitzky";"Hungarian_People's_Republic";87;79464;19621;0.3;0.3;0.6;0.6046511628;0.3860465116;0.3860465116;;
"Rudolf_Diesel";"Carnot_cycle";160;34709;21940;0.7;0.4;0.5;;;;;
"Martin_Landau";"Woody_Allen";32;63281;203089;0.5;0.5;0.5;"Avg_Perceived_Relatedness_pop_unpop";"Avg_Subjective_Knowledge_pop_unpop";"Avg_Serendipity_pop_unpop";;
"Superman_(1978_film)";"New_York_City_blackout_of_1977";20;58836;13106;0.8;0.5;0.8;0.6211538462;0.3788461538;0.4942307692;;
"The_Unbearable_Lightness_of_Being";"Anima_and_animus";382;28230;27683;0.5;0.4;0.7;;;;;
"Patrick_Troughton";"Baltimore";16;34991;120789.66;0.3;0.3;0.3;;;;;
"Robert_Langdon";"History_of_art";25;12920;33910;0.7;0.4;0.7;;;;;
"Dolores_O'Riordan";"Ali_Hewson";880;263032;63418;0.2;0.3;0.4;;;;;
"Great_White";"The_Station_nightclub_fire";650;23897;65018;0.9;0.5;0.7;;;;;
"Steve_Albini_discography";"Big_Black";28;14028;16382;0.7;0.7;0.5;;;;;
"Morten_Harket";"Simon_&_Garfunkel";23;29569;133270;0.3;0.3;0.5;;;;;
"Moonshine";"Grain";116;57207.34;34332.46;0.8;0.6;0.7;;;;;
"Antibiotic";"Syphilis";11;33543.16;52885.79;1;0.7;0.8;;;;;
"Barry_Goldwater";"George_H._W._Bush";12;30418.42;333833;0.8;0.4;0.7;;;;;
"Stereotypes_of_Jews";"Upper_middle_class";10;44481;12956;0.8;0.7;0.6;;;;;
"Ulster_Scots_people";"Plantation_of_Ulster";669;15568;22658;0.8;0.4;0.7;;;;;
"B_Praak";"Chandigarh";61;23495;76838.1;0.4;0.2;0.4;;;;;
"Alan_Shepard";"Deke_Slayton";346;33644;15218;0.7;0.6;0.5;;;;;
"Flashlight";"Tag_(game)";29;25826.05;18912.5;0.6;0.6;0.6;;;;;
"Shingon_Buddhism";"Heart_Sutra";18;12785;16824;0.5;0.5;0.6;;;;;
"Daniil_Kvyat";"24_Hours_of_Le_Mans";117;62286;123216;0.5;0.4;0.5;;;;;
"Twelve_Tribes_communities";"Crucifixion_of_Jesus";10;34499;187112;0.7;0.5;0.8;;;;;
"Shabazz_Napier";"Minnesota_Timberwolves";14;35465;41528;0.6;0.4;0.4;;;;;
"Thomas_Piketty";"May_68";14;15313;21897;0.6;0.3;0.6;;;;;
"Isle_of_Dogs_(film)";"Greta_Gerwig";761;49454.05;181185;0.7;0.5;0.6;;;;;
"Gold_reserve";"Japan";10;25233;583340.52;0.6;0.3;0.6;;;;;
"Festus_Ezeli";"List_of_NBA_champions";15;4586;321012;0.7;0.5;0.5;;;;;
"Michael_Foot";"1960_Ebbw_Vale_by-election";17;13627;152;0.3;0.2;0.5;;;;;
"Uluru";"Kingfisher";15;33838.42;52844;0.4;0.3;0.5;;;;;
"Peter_III_of_Russia";"Lutheranism";15;98834;70200.84;0.7;0.5;0.5;;;;;
"Samuel_L._Jackson";"A_Time_to_Kill_(1996_film)";491;227160;83593;1;0.6;0.7;;;;;
"Saracen";"Hagar";39;28194.31;50239.37;0.3;0.3;0.4;;;;;
"Sanjay_Khan";"Metro-Goldwyn-Mayer";10;60529;83888.37;0.4;0.3;0.5;;;;;
"Man_in_the_Mirror";"Nelson_Mandela";16;17846;204459.47;0.5;0.3;0.8;;;;;
"Lille";"Haifa";13;31150.88;119255.56;0.4;0.3;0.5;;;;;
"Altamont_Free_Concert";"Hells_Angels";520;21667;106893;0.8;0.5;0.5;;;;;
"Siege_of_Petersburg";"William_Tecumseh_Sherman";14;12403;65305;0.4;0.3;0.5;;;;;
"Christmas";"Good_King_Wenceslas";26;199472.65;12049;0.6;0.5;0.8;;;;;
"Edmonton";"Harbin";44;71179.65;26827.78;0.3;0.3;0.4;;;;;
"Hudson's_Bay_Company";"Saks_Fifth_Avenue";709;37636;16669;0.7;0.5;0.2;;;;;
"Endeavour_(TV_series)";"Oxford";13;72097;62603.6;1;0.5;0.7;;;;;
"Domestication_of_the_dog";"World_War_I";13;35210;808663;0.5;0.3;0.9;;;;;
"Scalp";"Dandruff";110;13260.51;14250;0.8;0.8;0.6;;;;;
"Karl_Popper";"Knight_Bachelor";37;35661;37104;0.6;0.5;0.4;;;;;
"Osiris_myth";"Byblos";20;20273;16247.22;0.5;0.3;0.6;;;;;
"Cities_of_Scotland";"Jubilee";15;95;26818;0.4;0.1;0.6;;;;;
"Lisa_Cameron";"Free_Church_of_Scotland_(since_1900)";60;50388;3602;0.4;0.1;0.3;;;;;
"Leiden";"Zoeterwoude";22;14744.17;456.84;0.7;0.4;0.4;;;;;
"Toroidal_inductors_and_transformers";"Q_factor";14;4039;24404;0.7;0.4;0.3;;;;;
"1971_NFL_Draft";"Archie_Manning";198;4533;95459;0.6;0.4;0.4;;;;;
"David_Tennant";"David_Blair_(director)";29;278367;1113.64;0.5;0.2;0.7;;;;;
"Harry_Bradshaw_(football_manager)";"Arsenal_F.C.";32;349;620392;0.8;0.6;0.6;;;;;
"2007_NBA_All-Star_Game";"Amar'e_Stoudemire";24;2354;65842;0.9;0.5;0.4;;;;;
"List_of_military_aircraft_of_Nazi_Germany";"Dornier_Do_335";49;2255;12517;0.8;0.5;0.5;;;;;
"I'm_a_Celebrity...Get_Me_Out_of_Here!_(British_TV_series)";"Andy_Whyment";859;40819.83;3331;0.8;0.2;0.5;;;;;
"How_Would_You_Feel_(Paean)";"Ed_Sheeran";10;1687.79;382512;0.8;0.5;0.6;;;;;
"Avshalom_Cave";"Beit_Shemesh";15;767;13496;0.5;0.2;0.7;;;;;
"Anacondas:_Trail_of_Blood";"Syfy";11;3207.89;18810.53;0.5;0.4;0.3;;;;;
"Law_and_Justice";"Senate_2001";14;164527;363;0.6;0.3;0.6;;;;;
"The_Golden_Turkey_Awards";"Candice_Bergen";13;2130;83642;0.5;0.3;0.4;;;;;
"Taking_Back_Sunday";"152_(album)";2454;31765;2200;0.8;0.5;0.4;;;;;
"The_Karate_Kid";"Amon_Miyamoto";10;85185;218;0.8;0.4;0.9;;;;;
"Rip_cut";"Circular_saw";14;2592;12525;0.8;0.5;0.5;;;;;
"Russian_Dalian";"Bo_Xilai";15;2395;13689;0.3;0.2;0.7;;;;;
"Mojo_(comics)";"Charlie_Adler";11;3583.19;12636;0.7;0.5;0.5;;;;;
"Buryatia";"Baikal_Mountains";28;13531.16;698;0.6;0.5;0.4;;;;;
"Morton's_toe";"Diana_of_Versailles";117;16633;2628;0.4;0.4;0.7;;;;;
"Republic_TV";"The_Caravan";12;13254;2228;0.6;0.2;0.3;;;;;
"Monica_Rambeau";"Great_Lakes_Avengers";67;31613;4475;0.5;0.2;0.6;;;;;
"Mother_(In_This_Moment_album)";"Maria_Brink";26;2207;21750;0.7;0.3;0.4;;;;;
"Something_So_Strong";"Don't_Dream_It's_Over";64;1627;18920;1;0.6;0.5;;;;;
"Helios";"Lelex_(king_of_Sparta)";51;50555.86;428;0.8;0.3;0.7;;;;;
"Annapurna_Pictures";"Sayonara_Wild_Hearts";24;23570;3583;0.8;0.6;0.4;;;;;
"Carmen_Ejogo";"Perfume_(2001_film)";33;36590;4520;0.5;0.3;0.4;;;;;
"Savitri_(actress)";"Pelli_Chesi_Choodu";191;44433.87;2122;0.6;0.4;0.1;;;;;
"Senate_Report_on_Iraqi_WMD_Intelligence";"Colin_Powell";13;1481;112751;0.8;0.6;0.4;;;;;
"PAOK_FC";"Vale_of_Tempe";14;54624;1883;0.4;0.3;0.4;;;;;
"George_Soros_conspiracy_theories";"Color_of_Change";69;12376;1550;0.6;0.5;0.9;;;;;
"Chetak_(disambiguation)";"Aerospatiale_Alouette_III";12;34.21;16041;0.4;0.4;0.4;;;;;
"Alhambra";"Ibn_al-Jayyab";14;88422.94;130;0.6;0.5;0.4;;;;;
"Montevideo_City_Torque";"Tiago_Palacios";23;14337;261;0.6;0.4;0.5;;;;;
"Mortal_Kombat_(2021_film)";"Benjamin_Wallfisch";56;137015;3547;0.8;0.6;0.5;;;;;
"Nightmare_Alley_(novel)";"Mentalism";11;4542.86;12518.57;0.8;0.3;0.7;;;;;
"Transition_Korea";"Pragmatism";11;2030;24313.37;0.6;0.3;0.7;;;;;
"Gang_of_Eight_(immigration)";"John_Boehner";33;2825;143843;0.6;0.4;0.5;;;;;
"Tauba_Tauba";"Antara_Biswas";75;2159;45722;0.4;0.2;0.2;;;;;
"Polydimethylsiloxane";"Passive_daytime_radiative_cooling";33;12162.11;3982;0.7;0.3;0.5;;;;;
"Lee_Reherman";"Hip_replacement";16;2355;18164;0.4;0.2;0.6;;;;;
"Michael_Ontkean";"A_Chance_of_Snow";13;16579;257;0.6;0.6;0.3;;;;;
"Saint_Martin_(island)";"Chutney_music";13;39070.94;3246;0.4;0.3;0.6;;;;;
"September_2012_raid_on_Camp_Bastion";"Haqqani_network";18;3033;13267;0.7;0.4;0.6;;;;;
"Conservative_A-List";"Liz_Truss";89;1040;173284;0.8;0.6;0.4;;;;;
"Bharat_Ane_Nenu";"Jayalalita";45;29170;2657.89;0.2;0.2;0.3;;;;;
"Burning_Man";"Dana_Harrison";21;76312;157;0.6;0.4;0.7;;;;;
"Manuel_Noriega";"Dignity_Battalions";18;73462;674;0.7;0.4;0.4;;;;;
"KB_Mashinostroyeniya";"Active_protection_system";13;1311;16440;0.6;0.3;0.3;;;;;
"Kiichi_Miyazawa";"George_H._W._Bush";39;4049;333833;0.6;0.5;0.6;;;;;
"Operation_Sangaris";"Dassault_Rafale";12;1114;119720;0.6;0.5;0.2;;;;;
"Rivers_of_Jammu_and_Kashmir";"Rambi_Ara";42;3094;270;0.6;0.5;0.3;;;;;
"Oscilloscope_(company)";"Not_Your_Typical_Bigfoot_Movie";32;2258.41;194;0.6;0.4;0.2;;;;;
"Fuji_Rock_Festival";"Mount_Naeba";27;2316;252;0.4;0.3;0.5;;;;;
"Ranulf_Flambard";"Battle_of_Tinchebray";24;1923;2254;0.5;0.2;0.3;;;;;
"Lokanathan_IAS";"Gayatri_Jayaraman";75;740;4662;0.5;0.2;0.3;;;;;
"Abdul_Carter";"Wyndmoor,_Pennsylvania";54;1457;851.18;0.5;0.5;0.2;;;;;
"The_Arts_Club";"Dover_Street";11;1262;747;0.8;0.6;0.4;;;;;
"Herbie_Armstrong";"Yellow_Dog_(band)";10;335;695.45;0.6;0.2;0.5;;;;;
"Bill_Janklow";"Mark_V._Meierhenry";10;1160;87;0.5;0.3;0.2;;;;;
"Port_Royale_2";"Ascaron";13;571;567.89;0.8;0.5;0.5;;;;;
"Lal_Baadshah";"Jack_Gaud";42;4395;4581;0.6;0.3;0.2;;;;;
"United_States_Constabulary";"Ernest_N._Harmon";14;1320;1507;0.6;0.4;0.4;;;;;
"Alms_for_Jihad";"Rachel_Ehrenfeld";11;398;423;0.4;0.3;0.3;;;;;
"Danny_Alexander";"Colonsay";16;2929;1969.7;0.6;0.4;0.4;;;;;
"Fiacre_Kelleher";"Blackrock,_Cork";35;1740;648.21;0.7;0.4;0.4;;;;;
"Did_I_Shave_My_Legs_for_This?";"How_Do_I_Get_There";13;1;965;0.7;0.3;0.7;;;;;
"James_Botham";"Mason_Grady";11;1565;1989;0.4;0.3;0.4;;;;;
"Slowly_I_Turned";"Joey_Faye";29;3228;864;0.6;0.6;0.4;;;;;
"USS_Salt_Lake_City_(CA-25)";"Pensacola-class_cruiser";308;2314.21;4156;0.6;0.4;0.4;;;;;
"Trolley_pole";"Charles_Joseph_Van_Depoele";14;3133;231;0.4;0.2;0.7;;;;;
"FULRO_insurgency";"Y_Bham_Enuol";53;1483;391;0.5;0.3;0.3;;;;;
"Chimera_Linux";"Musl";14;1080;3469.47;0.7;0.6;0.3;;;;;
"Year_of_the_Cat_(album)";"Andrew_Powell";22;4032.23;1698;0.7;0.5;0.3;;;;;
"The_Front_Porch";"Old_King_Clancy";14;697;1271;0.3;0.3;0.4;;;;;
"Remstar_Media_Group";"Max_(Canadian_TV_channel)";12;313;647;0.7;0.2;0.5;;;;;
"Bargur_Assembly_constituency";"D._Mathiazhagan";45;839;252.86;0.6;0.4;0.2;;;;;
"Sgares";"N0thing";14;422.11;665.79;0.6;0.5;0.5;;;;;
"M._P._Saminathan";"Muthur";11;1113.61;322.11;0.7;0.5;0.2;;;;;
"Davey_Graham";"Wizz_Jones";31;2504;1058;0.7;0.4;0.4;;;;;
"Matt_Mays";"When_the_Angels_Make_Contact";22;1290;102;0.6;0.6;0.2;;;;;
"Nobody_Knows_Anybody";"Mateo_Gil";33;611;944;0.7;0.5;0.1;;;;;
"Jackie_Toledo";"Lindsay_Cross";15;262;283;0.5;0.2;0.6;;;;;
"J._V._Somayajulu";"Ondagona_Baa";27;3567;1198;0.5;0.3;0.1;;;;;
"The_David_Letterman_Show";"Biff_Henderson";20;4568;1127;0.7;0.5;0.3;;;;;
"Raeesah_Khan";"Daniel_Goh";40;1297;528;0.3;0.3;0.5;;;;;
"Filene's_Basement";"Filene's";136;2600;1656.32;0.9;0.3;0.7;;;;;
"Non-Archimedean";"Levi-Civita_field";11;316;804;0.8;0.3;0.6;;;;;
"Ballet_Dancer_(song)";"A_Wild_Romance";12;235.83;143;0.9;0.4;0.5;;;;;
"Skull_cup";"Baldwin_I,_Latin_Emperor";49;3225;4506;0.7;0.5;0.6;;;;;
"Brad_Savage";"Islands_in_the_Stream_(film)";12;3847;1713.51;0.9;0.4;0.4;;;;;
"PZL-130_Orlik";"UTVA_Kobac";96;2678;740;0.4;0.3;0.4;;;;;
